iter	Passed	Remaining
423	14977	20346
424	15023	20325
425	15065	20300
426	15115	20283
427	15169	20272
428	15230	20272
429	15278	20253
430	15325	20231
431	15378	20219
432	15428	20203
433	15471	20176
434	15516	20153
435	15562	20131
436	15611	20113
437	15659	20093
438	15710	20076
439	15763	20062
440	15801	20030
441	15842	20000
442	15884	19972
443	15930	19949
444	15973	19921
445	16018	19896
446	16059	19867
447	16105	19843
448	16183	19859
449	16236	19845
450	16281	19819
451	16318	19784
452	16360	19755
453	16402	19726
454	16459	19715
455	16517	19705
456	16642	19774
457	16696	19759
458	16739	19729
459	16787	19707
460	16846	19696
461	16906	19687
462	16952	19662
463	16992	19629
464	17023	19586
465	17056	19545
466	17088	19503
467	17120	19462
468	17154	19422
469	17188	19382
470	17220	19340
471	17257	19305
472	17294	19268
473	17327	19228
474	17364	19192
475	17405	19160
476	17439	19121
477	17474	19083
478	17514	19050
479	17554	19017
480	17590	18980
481	17626	18942
482	17664	18907
483	17702	18872
484	17744	18841
485	17781	18806
486	17814	18765
487	17874	18753
488	17908	18713
489	17945	18677
490	17987	18647
491	18025	18611
492	18082	18595
493	18130	18571
494	18173	18540
495	18212	18506
496	18251	18471
497	18287	18434
498	18332	18405
499	18377	18377
500	18429	18356
501	18480	18332
502	18530	18309
503	18581	18286
504	18629	18260
505	18667	18225
506	18711	18194
507	18759	18168
508	18803	18138
509	18846	18107
510	18891	18078
511	18940	18053
512	18989	18027
513	19029	17992
514	19070	17959
515	19111	17926
516	19152	17892
517	19192	17858
518	19234	17826
519	19279	17796
520	19325	17767
521	19368	17735
522	19411	17703
523	19455	17673
524	19496	17640
525	19536	17604
526	19574	17568
527	19616	17535
528	19660	17505
529	19705	17474
530	19753	17447
531	19799	17417
532	19840	17384
533	19877	17346
534	19915	17309
535	19950	17270
536	19984	17230
537	20020	17192
538	20058	17155
539	20095	17118
540	20135	17083
541	20177	17050
542	20219	17016
543	20263	16985
544	20307	16954
545	20353	16924
546	20397	16892
547	20438	16857
548	20474	16819
549	20508	16779
550	20544	16741
551	20580	16702
552	20622	16669
553	20667	16638
554	20716	16610
555	20757	16576
556	20795	16539
557	20881	16540
558	20927	16509
559	20977	16482
560	21028	16455
561	21080	16429
562	21139	16408
563	21190	16381
564	21235	16349
565	21276	16314
566	21320	16281
567	21359	16245
568	21394	16205
569	21428	16165
570	21465	16127
571	21505	16091
572	21547	16057
573	21584	16018
574	21619	15979
575	21652	15938
576	21691	15901
577	21725	15861
578	21761	15823
579	21807	15791
580	21855	15761
581	21896	15726
582	21935	15689
583	21974	15653
584	22010	15614
585	22050	15578
586	22094	15544
587	22140	15513
588	22179	15476
589	22216	15438
590	22255	15402
591	22295	15365
592	22334	15328
593	22372	15291
594	22417	15259
595	22459	15223
596	22502	15190
597	22541	15153
598	22582	15117
599	22628	15085
600	22672	15052
601	22707	15012
602	22744	14974
603	22778	14934
604	22810	14892
605	22833	14845
606	22855	14797
607	22877	14749
608	22899	14702
609	22922	14655
610	22944	14608
611	22967	14561
612	22991	14514
613	23014	14468
614	23035	14420
615	23058	14374
616	23079	14326
617	23101	14279
618	23122	14231
619	23143	14184
620	23164	14137
621	23185	14090
622	23209	14045
623	23233	13999
624	23256	13953
625	23278	13907
626	23300	13861
627	23324	13816
628	23347	13771
629	23369	13725
630	23391	13679
631	23414	13633
632	23437	13588
633	23458	13542
634	23481	13497
635	23503	13451
636	23525	13406
637	23548	13361
638	23570	13316
639	23592	13270
640	23615	13225
641	23637	13180
642	23658	13135
643	23681	13091
644	23703	13046
645	23725	13001
646	23747	12956
647	23770	12912
648	23793	12868
649	23815	12823
650	23838	12779
651	23860	12735
652	23882	12690
653	23905	12647
654	23926	12602
655	23948	12558
656	23969	12513
657	23990	12469
658	24011	12424
659	24033	12380
660	24057	12338
661	24080	12294
662	24102	12251
663	24124	12207
664	24147	12164
665	24169	12120
666	24192	12078
667	24213	12034
668	24234	11990
669	24256	11947
670	24280	11905
671	24302	11861
672	24325	11819
673	24348	11776
674	24370	11734
675	24394	11691
676	24418	11650
677	24441	11608
678	24465	11566
679	24487	11523
680	24510	11481
681	24533	11439
682	24555	11397
683	24578	11354
684	24600	11312
685	24623	11270
686	24646	11229
687	24669	11187
688	24691	11145
689	24715	11103
690	24739	11062
691	24762	11021
692	24784	10979
693	24808	10938
694	24830	10896
695	24853	10855
696	24876	10814
697	24898	10772
698	24921	10731
699	24945	10690
700	24968	10649
701	24993	10609
702	25015	10568
703	25038	10527
704	25061	10486
705	25083	10445
706	25105	10404
707	25128	10363
708	25152	10323
709	25175	10282
710	25198	10242
711	25221	10201
712	25245	10161
713	25269	10121
714	25294	10082
715	25317	10042
716	25342	10002
717	25364	9962
718	25389	9922
719	25411	9882
720	25434	9842
721	25457	9802
722	25480	9762
723	25505	9723
724	25528	9683
725	25551	9643
726	25573	9603
727	25595	9563
728	25617	9523
729	25639	9483
730	25661	9443
731	25685	9403
732	25710	9365
733	25732	9325
734	25757	9286
735	25782	9247
736	25806	9209
737	25832	9170
738	25857	9132
739	25881	9093
740	25903	9054
741	25926	9014
742	25950	8976
743	25973	8937
744	25996	8898
745	26019	8859
746	26041	8820
747	26064	8781
748	26087	8742
749	26110	8703
750	26131	8664
751	26154	8625
752	26176	8586
753	26197	8547
754	26219	8508
755	26241	8469
756	26264	8431
757	26287	8392
758	26310	8354
759	26333	8315
760	26356	8277
761	26379	8239
762	26401	8200
763	26423	8162
764	26445	8123
765	26467	8085
766	26489	8047
767	26512	8009
768	26538	7971
769	26560	7933
770	26582	7895
771	26604	7857
772	26627	7819
773	26650	7781
774	26671	7743
775	26693	7705
776	26714	7667
777	26736	7629
778	26759	7591
779	26781	7553
780	26804	7516
781	26827	7478
782	26850	7441
783	26873	7403
784	26896	7366
785	26920	7329
786	26943	7292
787	26968	7255
788	26991	7218
789	27014	7181
790	27040	7144
791	27066	7108
792	27089	7071
793	27114	7034
794	27136	6997
795	27158	6960
796	27180	6923
797	27202	6885
798	27225	6848
799	27247	6811
800	27268	6774
801	27292	6738
802	27315	6701
803	27342	6665
804	27366	6629
805	27393	6593
806	27418	6557
807	27447	6522
808	27472	6486
809	27496	6449
810	27519	6413
811	27545	6377
812	27570	6341
813	27595	6305
814	27618	6269
815	27640	6232
816	27661	6195
817	27683	6159
818	27704	6122
819	27726	6086
820	27747	6049
821	27769	6013
822	27791	5976
823	27812	5940
824	27834	5904
825	27856	5868
826	27877	5831
827	27899	5795
828	27921	5759
829	27944	5723
830	27970	5688
831	27998	5653
832	28025	5618
833	28053	5583
834	28077	5548
835	28102	5512
836	28128	5477
837	28152	5442
838	28179	5407
839	28204	5372
840	28227	5336
841	28249	5300
842	28271	5265
843	28293	5229
844	28316	5194
845	28337	5158
846	28361	5123
847	28382	5087
848	28406	5052
849	28431	5017
850	28454	4982
851	28476	4946
852	28500	4911
853	28523	4876
854	28547	4841
855	28571	4806
856	28594	4771
857	28617	4736
858	28640	4701
859	28662	4665
860	28686	4631
861	28710	4596
862	28732	4561
863	28755	4526
864	28778	4491
865	28801	4456
866	28824	4421
867	28847	4386
868	28869	4352
869	28892	4317
870	28915	4282
871	28937	4247
872	28960	4213
873	28983	4178
874	29006	4143
875	29027	4108
876	29050	4074
877	29072	4039
878	29097	4005
879	29122	3971
880	29145	3936
881	29168	3902
882	29192	3868
883	29213	3833
884	29236	3799
885	29258	3764
886	29281	3730
887	29303	3695
888	29325	3661
889	29348	3627
890	29371	3593
891	29392	3558
892	29413	3524
893	29434	3490
894	29456	3455
895	29477	3421
896	29499	3387
897	29520	3353
898	29541	3318
899	29563	3284
900	29587	3250
901	29613	3217
902	29637	3183
903	29659	3149
904	29680	3115
905	29702	3081
906	29723	3047
907	29744	3013
908	29767	2980
909	29789	2946
910	29812	2912
911	29834	2878
912	29856	2844
913	29880	2811
914	29902	2777
915	29926	2744
916	29948	2710
917	29971	2677
918	29993	2643
919	30016	2610
920	30039	2576
921	30062	2543
922	30084	2509
923	30106	2476
924	30130	2443
925	30152	2409
926	30177	2376
927	30199	2343
928	30220	2309
929	30244	2276
930	30267	2243
931	30289	2209
932	30312	2176
933	30336	2143
934	30361	2110
935	30387	2077
936	30412	2044
937	30439	2011
938	30463	1978
939	30485	1945
940	30508	1912
941	30533	1879
942	30556	1846
943	30578	1813
944	30601	1781
945	30622	1748
946	30645	1715
947	30669	1682
948	30691	1649
949	30714	1616
950	30737	1583
951	30760	1550
952	30784	1518
953	30808	1485
954	30830	1452
955	30853	1420
956	30877	1387
957	30900	1354
958	30923	1322
959	30945	1289
960	30969	1256
961	30992	1224
962	31013	1191
963	31035	1159
964	31057	1126
965	31080	1093
966	31101	1061
967	31124	1028
968	31146	996
969	31168	963
970	31192	931
971	31214	899
972	31236	866
973	31259	834
974	31281	802
975	31304	769
976	31325	737
977	31346	705
978	31368	672
979	31389	640
980	31412	608
981	31434	576
982	31456	544
983	31482	511
984	31506	479
985	31532	447
986	31559	415
987	31585	383
988	31640	351
989	31670	319
990	31694	287
991	31717	255
992	31739	223
993	31763	191
994	31787	159
995	31819	127
996	31850	95
997	31881	63
998	31906	31
999	31931	0
